Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Feature8;Feature9;Feature10;Feature11;Pensioner
0;1;0;2;0;0;1;1;0;1;0;1
32;2;38;153;14;0;4;31;0;1;0;0
3;153;3;70;0;3;2;59;1;0;1;0
10;49;17;10;0;0;3;8;1;1;0;0
14;90;0;16;0;2;3;15;2;1;0;0
28;95;4;43;0;0;2;14;1;1;0;0
3;2;2;11;0;0;1;1;1;1;0;0
1;38;17;24;0;0;2;6;0;1;0;0
2;12;0;5;0;0;1;1;0;1;0;0
94;4313;2;220;1;0;1;21;1;1;0;0
0;2;0;3;0;0;0;1;1;0;1;0
4;24;1;12;0;1;1;2;1;1;0;0
59;355;5;101;8;8;7;43;3;0;1;0
13;52;1;28;0;5;1;5;1;0;1;0
1;44;1;12;0;1;1;1;0;0;1;1
1;1;0;7;0;0;2;2;1;0;0;0
2;70;6;7;0;1;3;1;1;0;1;0
0;0;0;0;1;0;2;0;0;0;1;0
0;0;14;0;0;0;0;0;1;1;0;0
3;24;0;0;1;0;0;1;0;1;0;0
0;0;0;0;2;0;11;1;0;0;1;0
5;1;8;23;1;1;1;8;0;1;0;1
0;0;0;0;0;0;0;0;0;0;0;0
60;1814;67;166;2;4;7;51;2;1;0;0
4;46;13;1;1;0;1;3;1;1;0;0
13;133;21;25;0;2;1;25;1;1;0;0
1;6;0;1;0;1;1;3;1;1;0;0
2;1;0;0;0;3;27;65;1;1;0;0
10;33;13;6;0;0;1;2;1;1;0;0
0;0;0;0;0;0;1;0;0;0;1;0
1;119;1;10;2;5;2;2;1;0;1;0
24;202;10;40;1;1;5;22;1;0;1;0
2;4;524;0;0;0;0;0;1;1;0;0
28;29;2;36;1;2;6;5;0;1;0;0
45;319;21;73;1;6;3;25;3;1;0;1
17;123;9;43;0;0;6;13;1;1;0;0
23;70;51;52;0;0;21;11;1;1;0;0
0;0;0;0;1;0;26;0;2;0;1;0
12;147;1;13;2;2;7;25;1;1;0;0
4;212;15;11;0;1;7;4;1;1;0;0
0;0;0;0;0;0;0;0;0;0;1;0
11;72;5;9;0;1;3;4;2;1;0;0
6;123;1;32;0;0;1;5;1;1;0;0
0;1;0;1;0;0;0;0;0;1;0;0
6;32;1;11;0;0;1;5;1;1;0;0
0;4;1;4;0;0;4;0;1;0;1;0
4;21;1;3;0;0;1;1;0;0;1;0
12;310;4;38;2;1;13;681;1;1;0;0
22;336;2;59;2;8;1;9;18;0;1;0
4;1;0;7;0;0;0;0;1;1;0;0
1;31;17;3;0;0;1;1;0;1;0;0
29;366;11;75;1;0;8;22;1;1;0;0
9;172;48;26;1;2;7;5;1;1;0;0
7;42;3;6;0;0;2;6;2;0;0;0
0;2;0;8;0;0;1;0;1;1;0;0
5;38;0;11;0;0;1;1;0;1;0;0
65;266;3;66;3;13;5;20;2;0;1;0
10;79;0;10;1;0;1;1;8;0;1;0
8;1;0;12;0;5;1;48;1;0;0;0
0;12;0;0;0;0;2;1;0;1;0;0
1;48;10;1;0;0;1;1;1;1;0;0
11;31;0;9;0;0;1;4;1;1;0;1
6;229;2;8;0;0;1;7;0;1;0;0
7;38;7;23;0;2;1;15;1;1;0;0
26;197;3;51;0;0;3;21;1;1;0;0
8;80;2;18;1;0;2;4;2;1;0;0
2;2;0;2;0;0;1;3;0;1;0;0
33;297;80;52;2;3;3;31;1;1;0;0
3;13;13;2;0;0;1;1;0;1;0;0
0;118;1;7;0;0;1;3;0;1;0;0
0;1;0;0;2;2;86;0;2;0;1;0
0;7;0;2;3;3;58;5;1;0;1;0
9;82;12;4;0;0;1;2;1;1;0;0
14;33;1;16;0;1;4;15;1;1;0;0
1;0;0;1;0;0;1;3;0;0;1;0
8;89;1;20;0;2;3;10;0;0;0;0
32;451;39;44;1;3;3;48;1;1;0;0
19;45;0;12;0;2;2;2;1;1;0;0
22;259;28;34;1;1;1;36;1;1;0;0
0;52;0;2;0;0;2;1;1;0;0;0
8;49;6;11;0;0;1;9;1;1;0;0
14;97;3;30;0;3;1;17;1;1;0;0
3;95;3;9;3;0;2;36;1;1;0;0
41;290;62;34;3;2;4;24;1;0;0;0
3;78;0;7;0;0;2;2;1;1;0;0
12;61;21;32;1;1;1;8;1;1;0;0
10;160;25;19;0;0;2;7;1;0;0;0
4;7;0;1;0;0;2;1;1;1;0;0
1;1;0;10;0;0;1;0;1;0;1;0
12;1;321;27;2;0;1;2;1;1;0;0
1;1;0;4;0;0;0;1;1;1;0;0
83;503;272;137;0;2;18;7;1;1;0;1
1;1;0;1;0;2;1;0;5;0;0;0
50;341;64;77;9;4;4;64;1;0;1;0
17;2;241;28;0;2;3;13;1;1;0;0
7;40;1;15;0;0;1;3;2;0;1;0
6;78;10;24;2;0;5;7;1;1;0;1
1;48;1;8;0;0;1;0;0;1;0;0
0;1;0;0;0;0;4;0;1;0;1;0
1;1;0;1;0;0;0;0;0;1;0;0
12;203;14;20;0;0;3;38;0;1;0;0
12;34;6;35;0;0;1;3;0;0;0;0
4;12;307;4;0;1;6;95;3;1;0;0
2;1;2;0;0;1;1;1;0;0;1;0
9;56;1;20;0;0;1;7;1;1;0;0
0;0;0;0;0;0;0;11;0;1;0;0
25;276;5;169;1;6;18;80;5;1;0;0
9;21;7;5;0;0;5;4;1;1;0;0
4;246;111;12;4;2;39;10;1;0;1;0
2;26;32;7;0;0;3;3;0;1;0;0
39;2;129;149;0;7;3;10;1;0;1;0
28;508;74;162;1;7;6;46;1;1;0;0
1;8;2;2;0;0;1;1;1;1;0;0
0;0;0;0;0;0;0;5;0;1;0;0
14;187;6;32;0;6;1;20;2;1;0;0
16;60;11;21;1;2;1;9;1;1;0;0
5;264;19;20;0;0;2;16;2;0;1;0
3;24;1;6;2;0;1;9;1;1;0;0
5;159;28;0;0;0;5;19;1;1;0;0
0;1;0;0;6;0;117;1;1;0;1;0
1;7;0;4;1;0;22;3;6;0;1;0
23;320;21;41;1;2;4;23;1;1;0;0
0;0;0;0;0;0;1;0;0;0;1;0
8;23;0;10;0;0;3;4;1;1;0;0
3;212;18;9;0;0;7;2;1;1;0;0
0;0;0;0;1;1;5;0;1;0;1;0
10;57;10;15;0;0;1;4;0;1;0;0
11;55;34;14;2;1;2;21;1;1;0;0
10;23;22;38;0;0;3;11;1;1;0;0
28;481;1;54;4;2;5;32;4;0;1;0
13;104;0;20;0;1;12;16;1;1;0;0
0;1;0;2;0;2;1;1;0;1;0;0
6;1;0;17;0;0;1;1;1;0;1;0
13;186;11;23;2;1;5;9;1;1;0;0
42;1;7;4;0;0;5;4;1;1;0;0
7;94;0;21;1;0;2;4;1;0;1;1
17;90;5;26;0;0;4;12;3;1;0;0
7;11;0;2;0;0;2;2;0;1;0;0
0;5;0;4;0;0;1;3;1;1;0;1
12;110;71;11;1;2;3;17;1;1;0;0
4;63;0;7;1;0;16;5;1;0;1;0
0;2;0;1;0;0;1;0;0;1;0;0
0;1;1;0;0;0;0;1;0;1;0;0
8;219;3;17;0;0;2;8;0;0;0;1
2;0;0;2;0;0;0;0;0;1;0;0
19;284;1;29;3;6;5;12;1;0;1;0
0;6;1;0;0;0;1;0;1;1;0;0
3;95;26;18;0;0;5;7;7;1;0;1
3;70;20;8;2;0;5;8;1;1;0;0
9;248;213;12;1;1;1;24;2;0;0;0
17;303;4;83;1;1;3;31;2;1;0;0
4;7;0;4;0;0;2;1;1;1;0;0
15;47;4;39;2;1;1;5;1;1;0;0
1;1;0;30;0;0;1;1;1;0;0;1
0;0;1;1;1;0;2;1;1;1;0;0
25;217;59;33;0;1;10;18;1;1;0;0
6;101;32;1;0;1;3;4;1;1;0;0
0;1;0;0;0;0;0;0;0;1;0;0
4;236;47;33;2;0;3;8;1;0;1;0
17;77;1;33;0;1;1;20;2;1;0;0
10;243;26;34;0;1;2;24;1;1;0;0
1;0;0;0;5;2;29;25;1;0;1;0
18;56;33;24;1;0;2;6;1;1;0;0
16;21;2;18;0;1;3;10;1;1;0;0
0;1;0;0;0;0;0;0;0;0;0;0
0;1;0;0;2;3;1;0;0;0;1;0
49;565;1;64;0;4;3;21;2;1;0;0
0;17;0;5;1;1;2;2;1;0;1;0
4;9;0;13;0;2;6;12;1;0;1;0
